Counted to 0 in 1,027 ns: inf ns/iter
Counted to 100 in 693 ns: 6.930000 ns/iter
Counted to 200 in 819 ns: 4.095000 ns/iter
Counted to 300 in 745 ns: 2.483333 ns/iter
Counted to 400 in 880 ns: 2.200000 ns/iter
Counted to 500 in 1,008 ns: 2.016000 ns/iter
Counted to 600 in 1,160 ns: 1.933333 ns/iter
Counted to 700 in 1,073 ns: 1.532857 ns/iter
Counted to 800 in 1,258 ns: 1.572500 ns/iter
Counted to 900 in 1,521 ns: 1.690000 ns/iter
Counted to 10,000 in 21,675 ns: 2.167500 ns/iter
Counted to 0 in 533 ns: inf ns/iter
Counted to 100 in 1,084 ns: 10.840000 ns/iter
Counted to 200 in 1,180 ns: 5.900000 ns/iter
Counted to 300 in 806 ns: 2.686667 ns/iter
Counted to 400 in 976 ns: 2.440000 ns/iter
Counted to 500 in 1,460 ns: 2.920000 ns/iter
Counted to 600 in 2,331 ns: 3.885000 ns/iter
Counted to 700 in 1,111 ns: 1.587143 ns/iter
Counted to 800 in 1,052 ns: 1.315000 ns/iter
Counted to 900 in 1,232 ns: 1.368889 ns/iter
Counted to 1,000 in 1,151 ns: 1.151000 ns/iter
Counted to 1,100 in 1,172 ns: 1.065455 ns/iter
Counted to 1,200 in 1,584 ns: 1.320000 ns/iter
Counted to 1,300 in 1,401 ns: 1.077692 ns/iter
Counted to 1,400 in 1,592 ns: 1.137143 ns/iter
Counted to 1,500 in 4,325 ns: 2.883333 ns/iter
Counted to 1,600 in 1,628 ns: 1.017500 ns/iter
Counted to 1,700 in 2,528 ns: 1.487059 ns/iter
Counted to 1,800 in 1,513 ns: 0.840556 ns/iter
Counted to 1,900 in 4,924 ns: 2.591579 ns/iter
Counted to 2,000 in 1,875 ns: 0.937500 ns/iter
Counted to 2,100 in 2,742 ns: 1.305714 ns/iter
Counted to 2,200 in 1,880 ns: 0.854545 ns/iter
Counted to 2,300 in 5,471 ns: 2.378696 ns/iter
Counted to 2,400 in 1,888 ns: 0.786667 ns/iter
Counted to 2,500 in 1,974 ns: 0.789600 ns/iter
Counted to 2,600 in 2,296 ns: 0.883077 ns/iter
Counted to 2,700 in 4,334 ns: 1.605185 ns/iter
Counted to 2,800 in 2,525 ns: 0.901786 ns/iter
Counted to 2,900 in 2,321 ns: 0.800345 ns/iter
Counted to 3,000 in 2,674 ns: 0.891333 ns/iter
Counted to 3,100 in 2,460 ns: 0.793548 ns/iter
Counted to 3,200 in 2,734 ns: 0.854375 ns/iter
Counted to 3,300 in 5,052 ns: 1.530909 ns/iter
Counted to 3,400 in 4,080 ns: 1.200000 ns/iter
Counted to 3,500 in 3,110 ns: 0.888571 ns/iter
Counted to 3,600 in 3,504 ns: 0.973333 ns/iter
Counted to 3,700 in 9,440 ns: 2.551351 ns/iter
Counted to 3,800 in 3,172 ns: 0.834737 ns/iter
Counted to 3,900 in 3,052 ns: 0.782564 ns/iter
Counted to 4,000 in 2,864 ns: 0.716000 ns/iter
Counted to 4,100 in 2,907 ns: 0.709024 ns/iter
Counted to 4,200 in 3,168 ns: 0.754286 ns/iter
Counted to 4,300 in 2,928 ns: 0.680930 ns/iter
Counted to 4,400 in 4,749 ns: 1.079318 ns/iter
Counted to 4,500 in 3,532 ns: 0.784889 ns/iter
Counted to 4,600 in 3,250 ns: 0.706522 ns/iter
Counted to 4,700 in 3,595 ns: 0.764894 ns/iter
Counted to 4,800 in 15,146 ns: 3.155417 ns/iter
Counted to 4,900 in 10,972 ns: 2.239184 ns/iter
Counted to 5,000 in 3,594 ns: 0.718800 ns/iter
Counted to 5,100 in 3,688 ns: 0.723137 ns/iter
Counted to 5,200 in 10,744 ns: 2.066154 ns/iter
Counted to 5,300 in 3,677 ns: 0.693774 ns/iter
Counted to 5,400 in 3,846 ns: 0.712222 ns/iter
Counted to 5,500 in 13,421 ns: 2.440182 ns/iter
Counted to 5,600 in 4,024 ns: 0.718571 ns/iter
Counted to 5,700 in 4,744 ns: 0.832281 ns/iter
Counted to 5,800 in 8,549 ns: 1.473966 ns/iter
Counted to 5,900 in 4,175 ns: 0.707627 ns/iter
Counted to 6,000 in 4,158 ns: 0.693000 ns/iter
Counted to 6,100 in 4,420 ns: 0.724590 ns/iter
Counted to 6,200 in 4,426 ns: 0.713871 ns/iter
Counted to 6,300 in 4,970 ns: 0.788889 ns/iter
Counted to 6,400 in 4,867 ns: 0.760469 ns/iter
Counted to 6,500 in 10,707 ns: 1.647231 ns/iter
Counted to 6,600 in 4,013 ns: 0.608030 ns/iter
Counted to 6,700 in 4,511 ns: 0.673284 ns/iter
Counted to 6,800 in 17,551 ns: 2.581029 ns/iter
Counted to 6,900 in 4,326 ns: 0.626957 ns/iter
Counted to 7,000 in 16,981 ns: 2.425857 ns/iter
Counted to 7,100 in 22,647 ns: 3.189718 ns/iter
Counted to 7,200 in 4,831 ns: 0.670972 ns/iter
Counted to 7,300 in 16,842 ns: 2.307123 ns/iter
Counted to 7,400 in 4,796 ns: 0.648108 ns/iter
Counted to 7,500 in 17,686 ns: 2.358133 ns/iter
Counted to 7,600 in 5,007 ns: 0.658816 ns/iter
Counted to 7,700 in 4,891 ns: 0.635195 ns/iter
Counted to 7,800 in 5,310 ns: 0.680769 ns/iter
Counted to 7,900 in 5,651 ns: 0.715316 ns/iter
Counted to 8,000 in 5,463 ns: 0.682875 ns/iter
Counted to 8,100 in 6,589 ns: 0.813457 ns/iter
Counted to 8,200 in 5,102 ns: 0.622195 ns/iter
Counted to 8,300 in 18,473 ns: 2.225663 ns/iter
Counted to 8,400 in 5,551 ns: 0.660833 ns/iter
Counted to 8,500 in 7,120 ns: 0.837647 ns/iter
Counted to 8,600 in 19,471 ns: 2.264070 ns/iter
Counted to 8,700 in 8,753 ns: 1.006092 ns/iter
Counted to 8,800 in 5,852 ns: 0.665000 ns/iter
Counted to 8,900 in 8,936 ns: 1.004045 ns/iter
Counted to 9,000 in 5,858 ns: 0.650889 ns/iter
Counted to 9,100 in 19,495 ns: 2.142308 ns/iter
Counted to 9,200 in 19,925 ns: 2.165761 ns/iter
Counted to 9,300 in 5,531 ns: 0.594731 ns/iter
Counted to 9,400 in 6,411 ns: 0.682021 ns/iter
Counted to 9,500 in 5,714 ns: 0.601474 ns/iter
Counted to 9,600 in 5,914 ns: 0.616042 ns/iter
Counted to 9,700 in 7,084 ns: 0.730309 ns/iter
Counted to 9,800 in 6,141 ns: 0.626633 ns/iter
Counted to 9,900 in 6,019 ns: 0.607980 ns/iter
Counted to 10,000 in 7,119 ns: 0.711900 ns/iter
